show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s197,Movie,Marriage Story,Quentin Tarantino,"Brad Pitt, Viola Davis, Emma Stone, Scarlett Johansson, Morgan Freeman",India,"July 14, 2018",2018,G,139 min,"Action & Adventure, Drama TV Shows",A gripping tale that explores complex characters through unexpected twists.
s198,Movie,Malcolm and Marie,,"Scarlett Johansson, Brad Pitt, Cate Blanchett, Meryl Streep",United States,"July 20, 2021",2021,TV-MA,154 min,"Anime Series, Documentaries",An award-winning production that redefines storytelling in modern cinema.
s199,TV Show,Sweet Tooth,Quentin Tarantino,"Ryan Gosling, Viola Davis",Nigeria,"July 9, 2016",2016,PG,6 Seasons,Crime TV Shows,A visually stunning piece that captivates with its unique perspective.
s200,Movie,Army of the Dead,Steven Spielberg,"Brad Pitt, Cate Blanchett, Ryan Gosling, Emma Stone",United States,"May 18, 2016",2007,TV-MA,125 min,Kids TV,An award-winning production that redefines storytelling in modern cinema.
s201,Movie,Malcolm and Marie,Quentin Tarantino,"Morgan Freeman, Ryan Gosling, Tom Hanks, Emma Stone",Japan,"February 12, 2021",2020,TV-14,113 min,"Crime TV Shows, Thrillers",A visually stunning piece that captivates with its unique perspective.
s202,TV Show,Sweet Tooth: Season 4,Spike Lee,"Ryan Gosling, Scarlett Johansson, Leonardo DiCaprio",United States,"July 25, 2021",2009,TV-14,4 Seasons,"Action & Adventure, Reality TV",An award-winning production that redefines storytelling in modern cinema.
s203,Movie,Interstellar: Part 3,Alfonso Cuaron,"Meryl Streep, Ryan Gosling",United States,"December 16, 2015",2008,TV-14,148 min,"Thrillers, Crime TV Shows, Reality TV",A visually stunning piece that captivates with its unique perspective.
s204,Movie,Shawshank Redemption: Part 3,Spike Lee,"Meryl Streep, Emma Stone, Ryan Gosling, Cate Blanchett",Canada,"January 4, 2015",2013,TV-Y,87 min,"Children & Family Movies, Reality TV, Horror Movies",A gripping tale that explores complex characters through unexpected twists.
s205,Movie,Extraction,Steven Spielberg,"Cate Blanchett, Ryan Gosling",South Korea,"August 5, 2016",2000,TV-MA,119 min,"Stand-Up Comedy, Drama TV Shows, Dramas",An award-winning production that redefines storytelling in modern cinema.
s206,Movie,The Irishman,Guillermo del Toro,"Morgan Freeman, Angelina Jolie, Ryan Gosling",United States,"January 20, 2015",2015,TV-Y,167 min,"Documentaries, Dramas",A visually stunning piece that captivates with its unique perspective.
s207,Movie,Shawshank Redemption,Denis Villeneuve,"Meryl Streep, Leonardo DiCaprio, Morgan Freeman, Angelina Jolie, Denzel Washington",Italy,"October 13, 2017",2006,TV-MA,135 min,"Drama TV Shows, Dramas",A gripping tale that explores complex characters through unexpected twists.
s208,Movie,Forrest Gump: Part 2,,"Leonardo DiCaprio, Brad Pitt, Angelina Jolie, Tom Hanks, Ryan Gosling",United States,"February 27, 2019",2019,TV-PG,110 min,"Crime TV Shows, International Movies, Children & Family Movies",A gripping tale that explores complex characters through unexpected twists.
s209,TV Show,Orange Is the New Black: Season 1,Alfonso Cuaron,"Brad Pitt, Meryl Streep, Angelina Jolie",Spain,"October 21, 2021",2017,R,1 Season,"Romantic Movies, Reality TV",A visually stunning piece that captivates with its unique perspective.
s210,Movie,Gladiator,Ava DuVernay,"Scarlett Johansson, Brad Pitt",United Kingdom,"October 10, 2020",2016,R,167 min,"Action & Adventure, Children & Family Movies",An emotional journey that resonates with viewers around the world.
s211,Movie,Fight Club,Christopher Nolan,"Morgan Freeman, Emma Stone, Leonardo DiCaprio",United States,"February 25, 2018",2018,TV-Y7,101 min,Children & Family Movies,A visually stunning piece that captivates with its unique perspective.
s212,Movie,Schindlers List,Denis Villeneuve,"Cate Blanchett, Angelina Jolie, Meryl Streep",United States,"August 22, 2019",2019,TV-14,120 min,"Horror Movies, Stand-Up Comedy",An award-winning production that redefines storytelling in modern cinema.
s213,TV Show,Ozark: Season 3,Steven Spielberg,"Meryl Streep, Ryan Gosling, Scarlett Johansson, Angelina Jolie, Cate Blanchett",United Kingdom,"January 26, 2015",2012,TV-MA,3 Seasons,Horror Movies,A visually stunning piece that captivates with its unique perspective.
s214,Movie,Roma,Ava DuVernay,"Denzel Washington, Viola Davis, Cate Blanchett",United States,"May 4, 2019",2016,PG,92 min,"Anime Series, Crime TV Shows, Comedies",An award-winning production that redefines storytelling in modern cinema.
s215,Movie,Saving Private Ryan,Denis Villeneuve,"Tom Hanks, Leonardo DiCaprio",United States,"March 5, 2015",2015,G,88 min,"Action & Adventure, Kids TV",A thought-provoking narrative exploring themes of identity and redemption.
s216,Movie,Marriage Story: Part 3,Ava DuVernay,"Emma Stone, Brad Pitt, Ryan Gosling",United States,"October 18, 2016",2004,TV-14,138 min,"Thrillers, Action & Adventure, Comedies",A gripping tale that explores complex characters through unexpected twists.
s217,TV Show,Bridgerton: Season 6,Sofia Coppola,"Scarlett Johansson, Ryan Gosling, Viola Davis, Leonardo DiCaprio",Canada,"July 12, 2020",2018,PG,6 Seasons,"Dramas, Action & Adventure, Documentaries",A thought-provoking narrative exploring themes of identity and redemption.
s218,Movie,Parasite: Part 2,Denis Villeneuve,"Ryan Gosling, Leonardo DiCaprio, Meryl Streep, Emma Stone",India,"July 2, 2018",2017,TV-PG,174 min,"Kids TV, Dramas",An award-winning production that redefines storytelling in modern cinema.
s219,Movie,Thunder Force,Guillermo del Toro,"Emma Stone, Tom Hanks",United Kingdom,"January 15, 2021",2020,TV-14,157 min,"Documentaries, Reality TV, Action & Adventure",A gripping tale that explores complex characters through unexpected twists.
s220,Movie,Parasite: Part 3,Spike Lee,"Emma Stone, Scarlett Johansson, Tom Hanks, Cate Blanchett, Viola Davis",United States,"February 27, 2015",2000,TV-PG,112 min,"Thrillers, Reality TV",A gripping tale that explores complex characters through unexpected twists.
s221,Movie,Marriage Story: Part 2,David Fincher,"Scarlett Johansson, Emma Stone",Germany,"October 24, 2017",2014,PG,176 min,"International Movies, Crime TV Shows",A visually stunning piece that captivates with its unique perspective.
s222,TV Show,You,Denis Villeneuve,"Viola Davis, Scarlett Johansson, Angelina Jolie",United States,"March 2, 2021",2007,TV-MA,3 Seasons,"Romantic Movies, Reality TV",A gripping tale that explores complex characters through unexpected twists.
s223,Movie,Goodfellas,Ava DuVernay,"Scarlett Johansson, Viola Davis, Denzel Washington, Angelina Jolie",Spain,"December 2, 2020",2019,TV-MA,77 min,"International Movies, Documentaries",An emotional journey that resonates with viewers around the world.
s224,Movie,The Irishman,Quentin Tarantino,"Angelina Jolie, Viola Davis, Morgan Freeman, Scarlett Johansson",United Kingdom,"September 2, 2017",2017,TV-PG,112 min,"Comedies, Reality TV",A gripping tale that explores complex characters through unexpected twists.
s225,TV Show,Emily in Paris: Season 4,David Fincher,"Tom Hanks, Emma Stone",United States,"December 13, 2019",2007,TV-PG,4 Seasons,"Horror Movies, Dramas",An award-winning production that redefines storytelling in modern cinema.
s226,Movie,The Old Guard: Part 2,Martin Scorsese,"Brad Pitt, Angelina Jolie, Morgan Freeman, Ryan Gosling, Scarlett Johansson",France,"May 17, 2021",2006,TV-MA,123 min,Drama TV Shows,An award-winning production that redefines storytelling in modern cinema.
s227,TV Show,Sex Education: Season 3,Steven Spielberg,"Emma Stone, Angelina Jolie, Tom Hanks, Meryl Streep",India,"December 3, 2016",2016,PG,3 Seasons,Thrillers,An award-winning production that redefines storytelling in modern cinema.
s228,Movie,Gladiator: Part 2,Sofia Coppola,"Meryl Streep, Leonardo DiCaprio, Angelina Jolie, Brad Pitt, Morgan Freeman",Germany,"October 17, 2020",2010,R,162 min,"International Movies, Reality TV",A visually stunning piece that captivates with its unique perspective.
s229,Movie,Marriage Story,Guillermo del Toro,"Leonardo DiCaprio, Tom Hanks, Scarlett Johansson, Morgan Freeman, Viola Davis",Canada,"May 15, 2021",2017,TV-Y7,105 min,"Stand-Up Comedy, Dramas",A visually stunning piece that captivates with its unique perspective.
s230,Movie,Bird Box,Quentin Tarantino,"Ryan Gosling, Morgan Freeman, Scarlett Johansson, Brad Pitt",Mexico,"July 25, 2019",2010,TV-MA,130 min,"Stand-Up Comedy, Anime Series",A visually stunning piece that captivates with its unique perspective.
s231,TV Show,Breaking Bad,Alfonso Cuaron,"Morgan Freeman, Emma Stone, Denzel Washington",Mexico,"January 7, 2021",2016,TV-PG,2 Seasons,"Stand-Up Comedy, Kids TV",An award-winning production that redefines storytelling in modern cinema.
s232,TV Show,Mindhunter: Season 4,Spike Lee,"Viola Davis, Tom Hanks, Leonardo DiCaprio, Morgan Freeman",India,"December 24, 2016",2013,TV-MA,4 Seasons,"Action & Adventure, Stand-Up Comedy",A visually stunning piece that captivates with its unique perspective.
s233,TV Show,Mindhunter: Season 2,Denis Villeneuve,"Denzel Washington, Leonardo DiCaprio, Scarlett Johansson, Cate Blanchett, Meryl Streep",Canada,"November 8, 2019",2017,PG-13,2 Seasons,"Horror Movies, Thrillers, Documentaries",A gripping tale that explores complex characters through unexpected twists.
s234,Movie,Marriage Story: Part 2,Guillermo del Toro,"Meryl Streep, Morgan Freeman, Emma Stone, Tom Hanks",South Korea,"November 16, 2021",2021,TV-MA,175 min,"Documentaries, Action & Adventure",An emotional journey that resonates with viewers around the world.
s235,TV Show,The Witcher,Sofia Coppola,"Viola Davis, Brad Pitt, Meryl Streep, Scarlett Johansson",Canada,"July 3, 2016",2012,PG,1 Season,"International Movies, Dramas, Children & Family Movies",A gripping tale that explores complex characters through unexpected twists.
s236,Movie,The Irishman,Sofia Coppola,"Cate Blanchett, Angelina Jolie, Brad Pitt",South Korea,"December 17, 2019",2012,TV-PG,167 min,Comedies,An emotional journey that resonates with viewers around the world.
s237,TV Show,Ozark,Alfonso Cuaron,"Tom Hanks, Scarlett Johansson, Morgan Freeman, Denzel Washington",United States,"December 24, 2017",2015,TV-MA,1 Season,Children & Family Movies,A gripping tale that explores complex characters through unexpected twists.
s238,Movie,Parasite,,"Meryl Streep, Angelina Jolie, Brad Pitt, Ryan Gosling",India,"December 28, 2017",2015,PG-13,105 min,"Comedies, Drama TV Shows, Anime Series",A thought-provoking narrative exploring themes of identity and redemption.
s239,Movie,The Matrix,,"Viola Davis, Meryl Streep, Emma Stone",United States,"January 20, 2017",2007,TV-14,160 min,Horror Movies,A visually stunning piece that captivates with its unique perspective.
s240,TV Show,House of Cards,Bong Joon-ho,"Morgan Freeman, Emma Stone, Tom Hanks, Meryl Streep, Brad Pitt",United Kingdom,"September 7, 2021",2020,TV-MA,1 Season,"Anime Series, Kids TV, Romantic Movies",A thought-provoking narrative exploring themes of identity and redemption.
s241,Movie,Extraction,Bong Joon-ho,"Morgan Freeman, Scarlett Johansson",United States,"April 19, 2020",2011,TV-14,138 min,"International Movies, Stand-Up Comedy, Reality TV",A visually stunning piece that captivates with its unique perspective.
s242,Movie,Malcolm and Marie,Sofia Coppola,"Brad Pitt, Leonardo DiCaprio, Emma Stone, Scarlett Johansson, Viola Davis",United States,"December 27, 2020",2018,TV-PG,158 min,"Thrillers, Children & Family Movies",An award-winning production that redefines storytelling in modern cinema.
s243,Movie,Silence of Lambs,Martin Scorsese,"Meryl Streep, Emma Stone, Denzel Washington, Leonardo DiCaprio",United States,"October 7, 2020",2012,TV-Y,123 min,"Action & Adventure, International Movies, Horror Movies",A gripping tale that explores complex characters through unexpected twists.
s244,Movie,The Matrix,Steven Spielberg,"Brad Pitt, Viola Davis, Scarlett Johansson, Tom Hanks, Leonardo DiCaprio",India,"February 7, 2021",2011,TV-MA,167 min,International Movies,An award-winning production that redefines storytelling in modern cinema.
s245,Movie,Chicago 7: Part 2,Denis Villeneuve,"Morgan Freeman, Tom Hanks, Cate Blanchett",India,"July 9, 2015",2013,R,111 min,Drama TV Shows,A visually stunning piece that captivates with its unique perspective.
s246,Movie,The Irishman,Steven Spielberg,"Scarlett Johansson, Angelina Jolie, Emma Stone, Ryan Gosling, Brad Pitt",India,"October 23, 2021",2013,TV-MA,175 min,Romantic Movies,A thought-provoking narrative exploring themes of identity and redemption.
s247,Movie,Parasite,Alfonso Cuaron,"Viola Davis, Emma Stone, Ryan Gosling, Denzel Washington, Leonardo DiCaprio",Japan,"December 28, 2021",2020,TV-PG,122 min,Reality TV,A gripping tale that explores complex characters through unexpected twists.
s248,TV Show,House of Cards,,"Cate Blanchett, Tom Hanks, Scarlett Johansson",United States,"June 6, 2020",2012,PG-13,2 Seasons,"Stand-Up Comedy, Anime Series, Crime TV Shows",A thought-provoking narrative exploring themes of identity and redemption.
s249,TV Show,Narcos: Season 5,Bong Joon-ho,"Cate Blanchett, Brad Pitt",United States,"September 18, 2021",2020,TV-MA,5 Seasons,"Dramas, Romantic Movies, Thrillers",A visually stunning piece that captivates with its unique perspective.
s250,Movie,Roma: Part 3,Quentin Tarantino,"Ryan Gosling, Angelina Jolie, Morgan Freeman, Tom Hanks",Germany,"April 5, 2019",2017,PG,171 min,"Stand-Up Comedy, Documentaries, Action & Adventure",A visually stunning piece that captivates with its unique perspective.
s251,Movie,Oxygen,Denis Villeneuve,"Morgan Freeman, Ryan Gosling, Meryl Streep, Brad Pitt, Cate Blanchett",Spain,"March 1, 2021",2018,PG,116 min,Crime TV Shows,A gripping tale that explores complex characters through unexpected twists.
s252,TV Show,Orange Is the New Black,Guillermo del Toro,"Meryl Streep, Tom Hanks, Cate Blanchett",United States,"January 19, 2019",2015,TV-MA,6 Seasons,"Crime TV Shows, Documentaries, Reality TV",An award-winning production that redefines storytelling in modern cinema.
s253,TV Show,Never Have I Ever: Season 1,Spike Lee,"Emma Stone, Angelina Jolie, Brad Pitt",United Kingdom,"October 1, 2021",2020,TV-PG,1 Season,International Movies,An emotional journey that resonates with viewers around the world.
s254,Movie,Chicago 7,Bong Joon-ho,"Cate Blanchett, Tom Hanks, Angelina Jolie, Viola Davis",Japan,"June 12, 2021",2020,TV-14,159 min,"Documentaries, Reality TV, Anime Series",A visually stunning piece that captivates with its unique perspective.
s255,Movie,Black Panther,Martin Scorsese,"Ryan Gosling, Cate Blanchett, Tom Hanks, Angelina Jolie",Germany,"November 28, 2017",2016,PG,91 min,"Romantic Movies, Reality TV, Documentaries",An award-winning production that redefines storytelling in modern cinema.
s256,Movie,Oxygen,David Fincher,"Scarlett Johansson, Emma Stone, Tom Hanks, Cate Blanchett, Leonardo DiCaprio",India,"October 16, 2018",2005,TV-14,76 min,Crime TV Shows,An emotional journey that resonates with viewers around the world.
s257,Movie,Pulp Fiction,Spike Lee,"Viola Davis, Angelina Jolie, Cate Blanchett, Brad Pitt",United States,"March 17, 2021",2020,TV-14,177 min,"Reality TV, Documentaries, International Movies",A thought-provoking narrative exploring themes of identity and redemption.
s258,Movie,Inception,Denis Villeneuve,"Morgan Freeman, Tom Hanks, Ryan Gosling, Denzel Washington",India,"December 5, 2018",2018,R,128 min,Children & Family Movies,A visually stunning piece that captivates with its unique perspective.
s259,Movie,Interstellar,Sofia Coppola,"Meryl Streep, Viola Davis, Cate Blanchett",India,"January 14, 2017",2011,TV-14,160 min,Dramas,An award-winning production that redefines storytelling in modern cinema.
s260,TV Show,Breaking Bad,Sofia Coppola,"Viola Davis, Brad Pitt, Emma Stone",India,"January 13, 2019",2005,TV-14,4 Seasons,"Kids TV, Romantic Movies",A thought-provoking narrative exploring themes of identity and redemption.
s261,Movie,Extraction,Denis Villeneuve,"Viola Davis, Ryan Gosling, Denzel Washington, Brad Pitt, Leonardo DiCaprio",United States,"February 28, 2021",2021,TV-PG,133 min,"Comedies, Thrillers",An emotional journey that resonates with viewers around the world.
s262,Movie,Project Power: Part 3,Martin Scorsese,"Leonardo DiCaprio, Scarlett Johansson",United States,"January 22, 2021",2019,TV-MA,122 min,"Children & Family Movies, Kids TV",A gripping tale that explores complex characters through unexpected twists.
s263,TV Show,The Crown: Season 3,David Fincher,"Brad Pitt, Angelina Jolie, Meryl Streep, Tom Hanks",Italy,"December 27, 2017",2011,TV-MA,3 Seasons,Reality TV,A visually stunning piece that captivates with its unique perspective.
s264,TV Show,Lupin: Season 1,Christopher Nolan,"Tom Hanks, Viola Davis, Cate Blanchett, Denzel Washington, Scarlett Johansson",United States,"February 25, 2017",2002,PG-13,1 Season,Documentaries,A thought-provoking narrative exploring themes of identity and redemption.
s265,Movie,Inception,Quentin Tarantino,"Meryl Streep, Emma Stone, Viola Davis, Denzel Washington, Brad Pitt",United States,"August 28, 2019",2016,TV-14,173 min,"Romantic Movies, Action & Adventure",An emotional journey that resonates with viewers around the world.
s266,Movie,Roma,Quentin Tarantino,"Cate Blanchett, Morgan Freeman, Meryl Streep",United Kingdom,"August 12, 2020",2020,TV-Y,177 min,"Reality TV, Action & Adventure",An emotional journey that resonates with viewers around the world.
s267,Movie,Extraction: Part 3,Denis Villeneuve,"Cate Blanchett, Angelina Jolie, Emma Stone, Meryl Streep",Canada,"June 17, 2015",2015,G,164 min,"Thrillers, Documentaries",An emotional journey that resonates with viewers around the world.
s268,TV Show,The Queens Gambit,Quentin Tarantino,"Brad Pitt, Viola Davis",United States,"June 2, 2021",2021,PG,3 Seasons,"Children & Family Movies, Reality TV, Dramas",An award-winning production that redefines storytelling in modern cinema.
s269,TV Show,Breaking Bad: Season 4,Bong Joon-ho,"Viola Davis, Scarlett Johansson, Brad Pitt, Angelina Jolie, Emma Stone",France,"April 10, 2019",2015,TV-Y7,4 Seasons,Children & Family Movies,An award-winning production that redefines storytelling in modern cinema.
s270,Movie,Avengers Endgame,Denis Villeneuve,"Brad Pitt, Viola Davis, Meryl Streep, Cate Blanchett, Angelina Jolie",United States,"January 9, 2017",2006,TV-14,84 min,"Horror Movies, Drama TV Shows",A visually stunning piece that captivates with its unique perspective.
s271,Movie,Schindlers List,Sofia Coppola,"Viola Davis, Leonardo DiCaprio, Ryan Gosling",United States,"November 16, 2015",2013,PG,120 min,Documentaries,An emotional journey that resonates with viewers around the world.
s272,Movie,Silence of Lambs,David Fincher,"Tom Hanks, Morgan Freeman, Leonardo DiCaprio",India,"November 17, 2020",2017,R,160 min,"Drama TV Shows, Comedies, Documentaries",A gripping tale that explores complex characters through unexpected twists.
s273,Movie,Forrest Gump,Bong Joon-ho,"Denzel Washington, Viola Davis, Cate Blanchett",Japan,"January 5, 2021",2009,TV-MA,151 min,Comedies,An award-winning production that redefines storytelling in modern cinema.
s274,Movie,Project Power,Guillermo del Toro,"Viola Davis, Scarlett Johansson",United States,"October 15, 2015",2003,TV-MA,155 min,"Action & Adventure, Thrillers, International Movies",A thought-provoking narrative exploring themes of identity and redemption.
s275,TV Show,Outer Banks: Season 3,David Fincher,"Angelina Jolie, Cate Blanchett, Ryan Gosling, Brad Pitt, Emma Stone",Australia,"June 23, 2021",2014,R,3 Seasons,Documentaries,A gripping tale that explores complex characters through unexpected twists.
s276,Movie,Silence of Lambs: Part 2,Denis Villeneuve,"Scarlett Johansson, Leonardo DiCaprio, Tom Hanks, Ryan Gosling",United States,"September 13, 2017",2014,NC-17,114 min,Anime Series,A gripping tale that explores complex characters through unexpected twists.
s277,TV Show,Ozark,Quentin Tarantino,"Emma Stone, Tom Hanks, Viola Davis",United States,"December 21, 2018",2016,R,5 Seasons,"Romantic Movies, Children & Family Movies, Drama TV Shows",A thought-provoking narrative exploring themes of identity and redemption.
s278,TV Show,Sex Education,Alfonso Cuaron,"Meryl Streep, Angelina Jolie, Brad Pitt, Scarlett Johansson, Cate Blanchett",Canada,"May 4, 2018",2017,TV-MA,4 Seasons,Kids TV,An award-winning production that redefines storytelling in modern cinema.
s279,Movie,Extraction: Part 2,Quentin Tarantino,"Denzel Washington, Emma Stone",India,"April 21, 2018",2018,TV-14,159 min,"Drama TV Shows, Comedies, Documentaries",A gripping tale that explores complex characters through unexpected twists.
s280,Movie,Marriage Story,Guillermo del Toro,"Morgan Freeman, Viola Davis, Cate Blanchett, Scarlett Johansson",Australia,"May 6, 2021",2012,R,107 min,"Crime TV Shows, Kids TV, Drama TV Shows",A visually stunning piece that captivates with its unique perspective.
s281,Movie,Enola Holmes,David Fincher,"Tom Hanks, Emma Stone, Leonardo DiCaprio, Morgan Freeman, Viola Davis",France,"December 8, 2021",2019,TV-14,171 min,"Action & Adventure, Drama TV Shows",An award-winning production that redefines storytelling in modern cinema.
s282,Movie,Marriage Story: Part 3,Denis Villeneuve,"Emma Stone, Brad Pitt",India,"February 1, 2020",2019,TV-MA,152 min,Children & Family Movies,A visually stunning piece that captivates with its unique perspective.
s283,Movie,Interstellar,Spike Lee,"Tom Hanks, Brad Pitt",Turkey,"April 8, 2015",2014,PG-13,156 min,"Romantic Movies, International Movies, Reality TV",A gripping tale that explores complex characters through unexpected twists.
s284,Movie,Oxygen,Steven Spielberg,"Emma Stone, Angelina Jolie",Italy,"November 20, 2018",2018,TV-14,166 min,"Anime Series, Romantic Movies, Documentaries",A thought-provoking narrative exploring themes of identity and redemption.
s285,TV Show,Lupin: Season 1,Alfonso Cuaron,"Viola Davis, Brad Pitt",Mexico,"July 16, 2021",2019,TV-14,1 Season,"Comedies, Kids TV, Dramas",An award-winning production that redefines storytelling in modern cinema.
s286,TV Show,Squid Game: Season 5,Martin Scorsese,"Angelina Jolie, Viola Davis, Emma Stone, Tom Hanks",Germany,"March 5, 2020",2013,R,5 Seasons,"Documentaries, Action & Adventure, International Movies",A gripping tale that explores complex characters through unexpected twists.
s287,TV Show,Lupin: Season 5,Sofia Coppola,"Emma Stone, Cate Blanchett, Viola Davis, Tom Hanks",United Kingdom,"July 23, 2021",2009,PG-13,5 Seasons,Romantic Movies,A thought-provoking narrative exploring themes of identity and redemption.
s288,TV Show,Ozark: Season 2,,"Leonardo DiCaprio, Cate Blanchett",India,"June 8, 2015",2013,TV-MA,2 Seasons,Horror Movies,A gripping tale that explores complex characters through unexpected twists.
s289,TV Show,Better Call Saul,Spike Lee,"Denzel Washington, Morgan Freeman, Ryan Gosling, Meryl Streep",Australia,"May 23, 2018",2016,PG-13,4 Seasons,"Stand-Up Comedy, Reality TV",An award-winning production that redefines storytelling in modern cinema.
s290,TV Show,The Witcher,Guillermo del Toro,"Emma Stone, Angelina Jolie, Tom Hanks",United States,"August 26, 2019",2017,TV-14,6 Seasons,"Crime TV Shows, Action & Adventure",A visually stunning piece that captivates with its unique perspective.
s291,Movie,The Matrix,,"Brad Pitt, Ryan Gosling",India,"March 25, 2019",2019,PG,106 min,"Documentaries, Crime TV Shows, Children & Family Movies",An emotional journey that resonates with viewers around the world.
s292,TV Show,Stranger Things: Season 3,Ava DuVernay,"Emma Stone, Angelina Jolie",Canada,"April 10, 2017",2011,TV-PG,3 Seasons,"Thrillers, Comedies, Kids TV",A gripping tale that explores complex characters through unexpected twists.
s293,TV Show,Money Heist,Guillermo del Toro,"Ryan Gosling, Leonardo DiCaprio",United States,"November 11, 2021",2021,TV-Y,3 Seasons,"Kids TV, Anime Series, Children & Family Movies",A gripping tale that explores complex characters through unexpected twists.
s294,Movie,Schindlers List,Bong Joon-ho,"Tom Hanks, Cate Blanchett, Leonardo DiCaprio, Scarlett Johansson, Denzel Washington",India,"February 24, 2021",2005,TV-MA,87 min,Anime Series,An award-winning production that redefines storytelling in modern cinema.
s295,TV Show,You: Season 2,Sofia Coppola,"Morgan Freeman, Scarlett Johansson, Viola Davis, Angelina Jolie, Leonardo DiCaprio",United States,"September 8, 2017",2003,R,2 Seasons,Romantic Movies,A thought-provoking narrative exploring themes of identity and redemption.
s296,Movie,Army of the Dead: Part 3,Quentin Tarantino,"Cate Blanchett, Scarlett Johansson, Ryan Gosling, Tom Hanks",Canada,"March 10, 2015",2014,TV-MA,89 min,"Thrillers, Kids TV, Comedies",A visually stunning piece that captivates with its unique perspective.
s297,Movie,Extraction,,"Tom Hanks, Meryl Streep",Italy,"March 1, 2016",2013,R,125 min,"Comedies, Anime Series, Stand-Up Comedy",A thought-provoking narrative exploring themes of identity and redemption.
s298,TV Show,Squid Game,Ava DuVernay,"Scarlett Johansson, Leonardo DiCaprio, Brad Pitt, Meryl Streep",United States,"August 6, 2019",2017,TV-Y,3 Seasons,"Action & Adventure, Anime Series",A gripping tale that explores complex characters through unexpected twists.
s299,Movie,Bird Box,Denis Villeneuve,"Denzel Washington, Viola Davis, Cate Blanchett",Japan,"May 3, 2020",2018,TV-MA,151 min,"Dramas, Romantic Movies, Comedies",An award-winning production that redefines storytelling in modern cinema.
s300,TV Show,Sweet Tooth: Season 4,Bong Joon-ho,"Denzel Washington, Brad Pitt, Angelina Jolie, Leonardo DiCaprio",United Kingdom,"August 27, 2016",2012,PG,4 Seasons,Crime TV Shows,A visually stunning piece that captivates with its unique perspective.
s301,Movie,Fight Club: Part 2,Quentin Tarantino,"Denzel Washington, Meryl Streep",India,"March 18, 2021",2019,TV-14,137 min,"Horror Movies, Thrillers",A visually stunning piece that captivates with its unique perspective.
s302,Movie,Extraction,Christopher Nolan,"Denzel Washington, Leonardo DiCaprio",Brazil,"April 15, 2017",2008,TV-Y7,97 min,Horror Movies,A thought-provoking narrative exploring themes of identity and redemption.
s303,TV Show,You,David Fincher,"Cate Blanchett, Denzel Washington, Leonardo DiCaprio, Ryan Gosling",United States,"March 1, 2018",2017,PG-13,2 Seasons,"Drama TV Shows, Dramas",An award-winning production that redefines storytelling in modern cinema.
s304,Movie,Black Panther: Part 3,,"Ryan Gosling, Cate Blanchett, Brad Pitt, Denzel Washington",India,"April 19, 2016",2015,R,155 min,"International Movies, Anime Series, Crime TV Shows",An emotional journey that resonates with viewers around the world.
s305,TV Show,You: Season 5,David Fincher,"Leonardo DiCaprio, Denzel Washington, Emma Stone, Cate Blanchett, Morgan Freeman",France,"October 10, 2019",2012,TV-Y7,5 Seasons,"Documentaries, Crime TV Shows, Comedies",An award-winning production that redefines storytelling in modern cinema.
s306,Movie,Parasite,Martin Scorsese,"Meryl Streep, Scarlett Johansson, Cate Blanchett, Emma Stone",United States,"June 23, 2021",2007,NC-17,121 min,"Romantic Movies, Horror Movies, Thrillers",A gripping tale that explores complex characters through unexpected twists.
s307,Movie,Chicago 7,Ava DuVernay,"Cate Blanchett, Scarlett Johansson",United States,"January 18, 2020",2020,R,105 min,"Documentaries, Comedies",An emotional journey that resonates with viewers around the world.
s308,Movie,Saving Private Ryan,Alfonso Cuaron,"Morgan Freeman, Tom Hanks, Meryl Streep, Viola Davis",United Kingdom,"March 26, 2021",2007,R,158 min,Thrillers,An emotional journey that resonates with viewers around the world.
s309,TV Show,Shadow and Bone,Bong Joon-ho,"Tom Hanks, Cate Blanchett, Meryl Streep, Emma Stone, Denzel Washington",India,"August 24, 2016",2013,TV-Y,2 Seasons,Dramas,A visually stunning piece that captivates with its unique perspective.
s310,TV Show,Mindhunter,,"Denzel Washington, Emma Stone, Scarlett Johansson, Leonardo DiCaprio, Angelina Jolie",Japan,"July 20, 2018",2017,G,4 Seasons,"Reality TV, Comedies",An emotional journey that resonates with viewers around the world.
s311,Movie,Roma: Part 3,Steven Spielberg,"Cate Blanchett, Scarlett Johansson, Leonardo DiCaprio",Canada,"December 12, 2017",2016,TV-14,143 min,"Action & Adventure, Anime Series, International Movies",A thought-provoking narrative exploring themes of identity and redemption.
s312,Movie,Malcolm and Marie,Bong Joon-ho,"Brad Pitt, Emma Stone, Cate Blanchett",United States,"July 25, 2020",2015,TV-MA,137 min,International Movies,A gripping tale that explores complex characters through unexpected twists.
s313,Movie,Avengers Endgame,Sofia Coppola,"Tom Hanks, Brad Pitt",India,"December 21, 2020",2015,TV-MA,146 min,"Romantic Movies, Comedies, Reality TV",An emotional journey that resonates with viewers around the world.
s314,Movie,Oxygen,Steven Spielberg,"Meryl Streep, Leonardo DiCaprio, Angelina Jolie, Scarlett Johansson, Ryan Gosling",United States,"February 10, 2018",2016,PG-13,156 min,"Thrillers, Horror Movies, Stand-Up Comedy",A thought-provoking narrative exploring themes of identity and redemption.
